id,title,username,type,members_count,can_send_messages,language
,Bitcoin Hyper [Presale $BTCHYP},BitcoinHyperL,supergroup,121857,True,en
,OpenEX Network EN,oex_en,supergroup,121047,True,en
,Wormfare Chat,wormfarechat,supergroup,119343,True,en
,Cycle Network,cycle_network,supergroup,117913,True,en
,Fanton Fantasy Football⚽️,,supergroup,115700,True,en
,Raja Luck Game prediction Hack,Raja_Game_Luck_82_Tc_Lottery1,supergroup,114118,True,en
,ONLINE PART TIME JOBS,ONLINE_PART_TIME_INCOMEL,supergroup,113800,True,en
,ONLINE PART TIME JOBS,ONLINE_PART_TIME_WORKY,supergroup,113746,True,en
,Blockchain FX | Chat,blockchainfxTG,supergroup,110489,True,en
,ONLINE PART TIME JOBS,ONLINE_PART_TIME_JOBS06,supergroup,106270,True,en
,Enfo with canada 🇨🇦🇨🇦🇻🇬🇻🇬🇱🇷🇱🇷,canada_is_Enfo,supergroup,105959,True,en
,Signals - Bitcoin and Ethereum,signalsbitcoinandethereum,supergroup,105685,True,en
,Futures Trading Connect Group,futurestradingconnectz,supergroup,105432,True,en
,CACHE WALLET,,supergroup,104648,True,en
,😾 Supermeow Discussion,supermeow_avax,supergroup,104394,True,en
,Airdrop Inspector Support Group,AirdropSupportGroup,supergroup,104259,True,en
,Haust Network [Chat Hub – all languages],haustnetwork_chat,supergroup,100069,True,en
,Oyster Republic: Universal Basic Smartnation,universalphone888,supergroup,99732,True,en
,MemeFi Coin Chat,memefi_chat_global,supergroup,96746,True,en
,𝐂𝐎𝐀𝐂𝐇 𝐉𝐕 𝐆𝐑𝐎𝐔𝐏 💎,coachjvgroupbots,supergroup,90634,True,en
,Bondex Official Group,bondex0fficial,supergroup,90574,True,en
,Simple Official Chat,smploffchat,supergroup,90444,True,en
,Hybrid | Community,HybridCommunity,supergroup,89572,True,en
,CHICKENROAD,games_hacks_bonuses_road,supergroup,89398,True,en
,Manyu Shiba [official channel],manyushibaREAL,supergroup,87830,True,en
,DeckForge - Global Community,deckforge_chat,supergroup,87763,True,en
,SEXSHOP TASHKENT,sexshop_intimshop_vakum_pompaq,supergroup,86294,True,en
,👑 𝗥𝗔𝗝𝗩𝗘𝗘𝗥 𝗢𝗡𝗟𝗜𝗡𝗘 𝗕𝗢𝗢𝗞 👑,RajveerOnlineBook_Bet365,supergroup,85425,True,en
,3BuBu | Emotion Rebase Hub,Three_BuBu,supergroup,85236,True,en
,GraphDex Chat,graphdex_chat,supergroup,82226,True,en
,Fantasy Cricket Teams Crypto,DREAM1_11_TEAMS,supergroup,81418,True,en
,🟢CallistoFx Education Suite🟢,CallistoEdu,supergroup,81180,True,en
,Anchor Real Estate Marketing ( Ethiopian Real Estate ),AnchorRealEstateMarketing,supergroup,80258,True,en
,Atomic Meta | Chat,AtomicMetaGroup,supergroup,80037,True,en
,Cellula Official Group,CellulaOfficial,supergroup,78213,True,en
,DATA ENTRY PREPAID TASK JOB WORK,DATA_ENTRY_PREPAID_TASK_JOB_WORK,supergroup,75891,True,en
,Online Jobs In Ethiopia 🇪🇹,online_jobs_ethiopia01,supergroup,75764,True,en
,SURXONDARYO TOSHKENT,surxandaryo_toshkent_termizf,supergroup,75462,True,en
,💙MAHADEVBOOK💙 CRYPTO,Mahdev_book_mahadevbook_crypto,supergroup,74554,True,en
,TIGER ( Calling 📞 ),Tiger_calling_meman0,supergroup,74225,True,en
,Engines of Fury,EnginesOfFury,supergroup,73781,True,en
,STAKE 🎁 CRYPTO,binance_bitcoin_cryptoo,supergroup,72815,True,en
,1XBET Football Predictions,Bettingo_tips,supergroup,72036,True,en
,EstateX Official Community (English),estatexofficial,supergroup,71798,True,en
,Meta Earth Community,Meta_Earth_Community,supergroup,71220,True,en
,ESKI TUSKI TEXNIKALAR OLAMIZ,httpsmekl,supergroup,69985,True,en
,ZERO KNOWLEDGE PROOF $ZKP [Official],ZKPOfficialTG,supergroup,69796,True,en
,TECTUM 🔗 Fastest Blockchain & SoftNote,tectumglobal,supergroup,69179,True,en
,EV2 [Official Verified Chat],ev2_chat,supergroup,68187,True,en
,Major Livestream & Community Chat | @MajorTrending,MajorCommunityChat,supergroup,67718,True,en
,Shiba Inu: The Dogecoin Killer,shibainuthedogecoinkiller,supergroup,67679,True,en
,Pi Meme Coin Community,PiMemeCoin_Chat,supergroup,67275,True,en
,Marketplace chat,marketplace_chat_mp,supergroup,66378,True,en
,QUOTEX SIGNALS 🚦,Quotex_binomo_olymp_trade,supergroup,65626,True,en
,BEST FRIENDS CHATTING,wife_swappings1,supergroup,64174,True,en
,Coldware Network Official,coldware_networkEN,supergroup,63704,True,en
,Space Adventure Chat 👨‍🚀,space_adventure_chat,supergroup,63291,True,en
,EXTENDED OFFICIAL SUPPORT,extendedappOfficial,supergroup,63001,True,en
,Brainedge ($LEARN) - Community,LEARN_brainedge,supergroup,62615,True,en
,Analog Official Community ⚛️,analogtimer,supergroup,62596,True,en
,𝗢𝗿𝗼𝗺𝗼-𝗚𝗲𝗿𝗺𝗮𝗻𝘆 𝗔𝘀𝘀𝗼𝗰𝗶𝗮𝘁𝗶𝗼𝗻 🎁,Oromo_Germany_Association,supergroup,62315,True,en
,Render Network | RNDR - Official Chat,RenderNetworkOfficialTG_en,supergroup,61781,True,en
,Swan Chain Official,swan_chain,supergroup,61775,True,en
,CHICKENROAD,road_game_hack_bonuses,supergroup,60944,True,en
,Mr Scalper Theta Gainers Decay,Mr_Scalper_Theta_Gainers_Decay,supergroup,59710,True,en
,AAVE FAM OFFICIAL,AaveCM,supergroup,59051,True,en
,Bybit Africa,BybitAfrica,supergroup,58776,True,en
,Creditlink Global,creditslink,supergroup,57714,True,en
,Apex Metric Studio,VkGPfR_SvplZTY8,supergroup,57539,True,en
,Crypto Seed Phrase Recovery Software,seedphraserecovery3,supergroup,57049,True,en
,Truth Box TV,Truth_Box_TV,supergroup,56745,True,en
,Lunex Network [Official Channel],LunexNetworkchannel,supergroup,55842,True,en
,BETTING ARYAN GURUJI,Aryan_Vikrant_Singh,supergroup,55559,True,en
,Anime chat group,honoredchat6,supergroup,55357,True,en
,GOAT Gaming Tribe 🐐,goatgamingtribe,supergroup,53751,True,en
,BRN Metaverse - Global,BrnTokenGlobal,supergroup,53578,True,en
,Tothemoon,tothemoon_community,supergroup,52665,True,en
,COOE Online Earning Platform,RXCE_one_team_one_dream,supergroup,52505,True,en
,Tennis Footballi Tips Free Bettingo,Footballi_Tips_Free,supergroup,52465,True,en
,Cyber Security - Information Security - IT Security - Experts,cybersecurityexperts,supergroup,52278,True,en
,Knightron Crypto,knightron_crypto,supergroup,52270,True,en
,Bankex Midcapnifty Upstox Trading Tips,BANKEX_Trading_Tips_Midcapnifty,supergroup,51944,True,en
,INDODAX - Indonesia Bitcoin & Crypto Exchange Official Group,indodaxroom,supergroup,51086,True,en
,SEXSHOP TASHKENT,sexshop_intimshop_vakum_pompala,supergroup,50779,True,en
,𝗦𝗔𝗜 𝗢𝗡𝗟𝗜𝗡𝗘 𝗕𝗢𝗢𝗞,Dragon_tiger_book,supergroup,50556,True,en
,FAIRPLAY BOOK CRYPTO,fairplay_laser247_11xplay,supergroup,50268,True,en
,Seed Phrase Recovery Software,seedphraserecovery2,supergroup,50187,True,en
,England Fan Token Community,englandfantokenchat,supergroup,50028,True,en
,$VICE | Official Community 💬,vice_ioOfficial,supergroup,49994,True,en
,Minativerse (Virtual World),Minativerseofficial,supergroup,49869,True,en
,Grow Deals Myntra Shopping & offers,Grow_deals_moj_discount_offers,supergroup,49806,True,en
,Gate.io International (English),gateio,supergroup,49449,True,en
,Planck Official Community (English),plancknetwork,supergroup,49303,True,en
,RubyScore,Ruby_Score,supergroup,48784,True,en
,Crypto Daku Robinhooders,cryptodakurobinhooders,supergroup,48475,True,en
,Unblocked 🟣,unblocked_tg,supergroup,47887,True,en
,Binance TR Community (Unofficial),BinanceTurkish,supergroup,47539,True,en
,Football Tennis Betting Tips Predictions,Football_Tennis_Tips_Betting,supergroup,46645,True,en
,ONLINE JOBS WORK FROM HOME,ONLINE_JOBS_WORK_FROM_HOME_9,supergroup,45838,True,en
,Atomic Meta - Community,atomicmetacommunity,supergroup,45673,True,en
,LEVEL Finance LVL Support,LevelFin_LVL,supergroup,45542,True,en
,CHICKEN ROAD 2 FREE GAMES,chikenroadd,supergroup,45368,True,en
,אוזמפיקcrypto פיתוח גוףnews הרזיה דיאטהok,bodybuildingglobal,supergroup,44873,True,en
,Crypto News,Crypto_Newsk,supergroup,44159,True,en
,WBBL TOSS MATCH REPORT,bbl_match_toss_report_2025,supergroup,43824,True,en
,"▋ INTRODUCTION : The “Treasury Yields Heatmap” generates a dynamic heat map table, showing treasury yield bond values correspond",publicpizza3,supergroup,43579,True,en
,Street Fury by OYABUN Chat,street_fury_chat,supergroup,43402,True,en
,Kava Chat Support,KavaChatlabs,supergroup,43011,True,en
,Rivan Kurniawan Official,valueinvestingl,supergroup,42743,True,en
,WLFI (WorldlibertyFi),worldlibertyWLFI,supergroup,41824,True,en
,GameFi.org Global Chat,GameFi_Official,supergroup,41331,True,en
,SummitX Finance,summitx_finance,supergroup,41174,True,en
,Ash The Teacher,biprimary,supergroup,41144,True,en
,CRYPTO NEWS AND TRENDS,crypto_news_trendsps,supergroup,41083,True,en
,Affiliate Marketing Chat,chat_affiliates,supergroup,40925,True,en
,Quantitative Analysis Council,TrendVistaPortal,supergroup,40864,True,en
,Raja Game Luck 82 Tc Jio Lottery Hack Colour Prediction,raja_Game_Luck_82_Tc_Jio_Lottery,supergroup,40837,True,en
,Pact Finance - Official Support,pactfinance,supergroup,40132,True,en
,Insight Elite Room,DataPulseGate,supergroup,40064,True,en
,Phantom Market Order,asdfeawwedd,supergroup,40050,True,en
,THORChain Community,ThorchainOfficial_En0,supergroup,39980,True,en
,Book Club: Books Community,ebookschat,supergroup,39816,True,en
,Metropolis Global Chat,metropolis_global,supergroup,39611,True,en
,Solid Futures Signals | Spot Signals | Copy Trading | Fund Management Program | Discussion Community ™ 🇺🇲🇮🇳,Solidtradersz,supergroup,39568,True,en
,PinkSale (Pink Ecosystem),pinkecosystem,supergroup,39426,True,en
,Cashback.Exchange | Trading Bot,CashbackExchange_chat,supergroup,38330,True,en
,NAGALAND_KERAL_LOTTERY,NAGALAND_LOTTERY_DEAR1,supergroup,38026,True,en
,Winning Trade calls,pickman_chat,supergroup,38025,True,en
,Circle Business Group,CircleBusinessGroup_1,supergroup,37588,True,en
,[Official] The Sandbox,sandboxgame,supergroup,37373,True,en
,RULE BASE TRADER,Software_trader_group,supergroup,37181,True,en
,Cheap iphone Trusted Indian Phone seller,Crypto_Used_iphone_laptop_seller,supergroup,36742,True,en
,Success Community,success_community,supergroup,36664,True,en
,FAIR PLAY BOOK_CRYPTO,win_buzz_laser247_fair_play_book,supergroup,36627,True,en
,Bazigar™ (Original),Cricket_Betting_Free_tips,supergroup,36361,True,en
,🇸🇬Singapore Reliable Group SRG 🇸🇬,singaporereliablegroup,supergroup,35745,True,en
,🎉🎉🎉 Working group 🎉🎉🎉,shoppingcenter918,supergroup,35735,True,en
,Zilliqa Official Chat,Zilliqachats_EN,supergroup,35726,True,en
,Frontier Wallet Official Support,FrontierWalletOfficialTG,supergroup,35718,True,en
,Baymax Support,baymax_support_group,supergroup,35124,True,en
,Crypto Horses,crypto_horses,supergroup,34688,True,en
,Integrated Learning,IntegratedlearningDrAshish,supergroup,34392,True,en
,POWR ARMY chat,POWRARMY2,supergroup,34117,True,en
,Faith Tribe $FTRB,faithtribe,supergroup,34104,True,en
,"Royal Affiliates 👑 FX, Crypto, Finance",royalaffiliates,supergroup,34044,True,en
,College Updates Helpline️,College_Updates_Helpline,supergroup,33798,True,en
,Avalanche (Official),avalancheavaxAV,supergroup,33209,True,en
,NeuralNetworksChat - AIForum,,supergroup,33029,True,en
,[Dx5] Likes + Comments | 📦 GROWTHBOX 📦,GROWTHBOX5,supergroup,32920,True,en
,FightlyOfficial,fightlyofficials,supergroup,32800,True,en
,WELL COMPUTER ™️,wel_laptop,supergroup,32713,True,en
,Full Nodes - Bitcoin Core,FullNodesBitcoinCore,supergroup,32662,True,en
,Datagram Telegram Community,datagramnetwork,supergroup,32410,True,en
,Orbital7 Community Group Chat,Orbital7BTC,supergroup,31547,True,en
,COMPOUND FINANCE OFFICIAL,CompoundFinanceCM,supergroup,31495,True,en
,Avalanche (Official),avalancheavax,supergroup,31469,True,en
,ANAESTHESIA MD/DNB Residency & Fellowships,anaesthesiaexam,supergroup,31321,True,en
,QUDO | Indie Games Incubator 🎮,qudogames,supergroup,31091,True,en
,Rollbit Official 🌐,RollbitEn,supergroup,31052,True,en
,Fallout,gftghgfr,supergroup,30721,True,en
,SBERBANK | TINKOFF | UZ 🇺🇿,webmoney_payeer_rubluz,supergroup,30664,True,en
